timestamp_utc,subject_model,dataset,bias_category,expressed_baseline_en,expressed_debias_en,delta_en,expressed_baseline_hi,expressed_debias_hi,delta_hi,expressed_baseline_bn,expressed_debias_bn,delta_bn,llm_clti
2026-06-08T14:35:01Z,aya-23-8b,crows_pairs,all,58.0221,53.7002,4.3219,57.7402,54.0362,3.704,49.8113,48.2033,1.608,2.656
2026-06-08T14:35:01Z,aya-23-8b,indian_bias,all,56.25,53.4716,2.7784,56.5742,54.7051,1.8691,52.432,49.4181,3.0139,2.4415
2026-06-08T14:35:01Z,deepseek-chat,crows_pairs,all,58.3164,49.4111,8.9053,60.2338,52.8611,7.3727,59.2767,51.7413,7.5354,7.4541
2026-06-08T14:35:01Z,deepseek-chat,indian_bias,all,56.4833,48.4671,8.0162,58.0803,51.1165,6.9638,57.8231,49.5238,8.2993,7.6316
2026-06-08T14:35:01Z,gpt-oss-20b,crows_pairs,all,52.3403,51.5945,0.7458,52.4091,50.8964,1.5127,53.7504,52.3906,1.3598,1.4362
2026-06-08T14:35:01Z,gpt-oss-20b,indian_bias,all,54.9624,55.5443,-0.5819,57.5,56.0851,1.4149,55.0327,54.1156,0.9171,1.166
2026-06-08T14:35:01Z,llama-3.3-70b,crows_pairs,all,51.9231,45.1603,6.7628,55.4566,47.4596,7.997,55.0696,46.7254,8.3442,8.1706
2026-06-08T14:35:01Z,llama-3.3-70b,indian_bias,all,50.911,44.0522,6.8588,52.3061,48.8809,3.4252,50.578,43.5567,7.0213,5.2233
2026-06-08T14:35:01Z,qwen2.5-7b,crows_pairs,all,55.1541,51.8427,3.3114,52.7902,52.9382,-0.148,52.0577,51.7797,0.278,0.065
2026-06-08T14:35:01Z,qwen2.5-7b,indian_bias,all,54.0773,55.6658,-1.5885,51.9285,53.6052,-1.6767,52.9042,52.6221,0.2821,-0.6973
